ISO3,Country,recent_period_start,recent_period_end,yield_recent_avg_kg_ha,fertilizers_recent_avg_kg_ha,emissions_recent_avg_t_per_ha,agriculture_share_gdp_recent_avg,yield_z,fert_z,emis_z,efficiency_index,efficiency_0_100
MUS,Mauritius,2014,2023,59102.45669225656,187.459,1.9523773557316102,3.1618130369304,7.050205935686416,1.0897264415850219,-0.20850542958499,2.8978010959796285,100.0
SWZ,Eswatini,2014,2023,31974.82606699564,66.365,2.084383329632567,7.310290965497129,3.355292682962025,-0.23341479892910458,-0.18650676148293616,1.6265328373823766,78.31297587319182
NLD,Netherlands (Kingdom of the),2014,2023,38367.01929596278,142.64600000000002,6.353034258339758,1.7714042509839694,4.225940024115825,0.6000743662455374,0.5248597945080028,1.5904357523514594,77.69718266929576
FJI,Fiji,2014,2023,27881.888235218365,53.028,1.3367194475142683,11.34094847806454,2.7978149420520433,-0.3791423719280715,-0.3111042255867508,1.4505354918985287,75.31057362492518
BRB,Barbados,2014,2023,23194.699102154915,67.19,3.454667777777778,2.138395457366787,2.159397327000367,-0.22440038431381268,0.0418498188243284,1.0285864577382269,68.1123927356964
CUB,Cuba,2014,2023,15680.798798149412,23.433,1.155885575625681,2.8613252409844057,1.135968108413654,-0.7025140089457236,-0.34124001574630153,0.8072498554064367,64.33653173826076
JAM,Jamaica,2014,2023,16204.908445291756,45.013,1.3935554201817917,7.3270499687446575,1.207354353230172,-0.4667187757360283,-0.3016325656154502,0.7587332330782485,63.50886916439642
PRI,Puerto Rico,2014,2023,16276.675809845852,39.762,2.348300791925144,0.7383013056596951,1.217129412101591,-0.5240941589419648,-0.14252517119773592,0.7405677759277394,63.19897807348514
GTM,Guatemala,2014,2023,17175.612764995116,111.922,1.749668709639844,9.611202047339045,1.3395689319707458,0.2643666394088978,-0.24228662974594073,0.5840676850006514,60.52918652883626
SLV,El Salvador,2014,2023,13609.989769657866,69.90599999999999,1.3203182030029925,5.19772250200501,0.8539139980148717,-0.19472383874395488,-0.31383747714955434,0.5211378200172673,59.45564324561345
BEL,Belgium,2014,2023,24330.38939919693,251.821,3.9900370264409224,0.7087216143713302,2.3140837862602304,1.792981900335829,0.1310685872281202,0.4706759869093249,58.59479661887359
PAN,Panama,2014,2023,12375.355310214072,62.964999999999996,1.7942108181467291,2.711960766523299,0.6857508698196236,-0.27056511370727715,-0.23486373036758515,0.44847335812291006,58.21603395968404
BHS,Bahamas,2014,2023,16290.519651557921,151.42,2.1597840909090906,0.7179150976994293,1.219015009665092,0.6959440314995625,-0.17394129741379516,0.38325886925287145,57.103516452873514
DOM,Dominican Republic,2014,2023,13816.689336575524,93.106,3.3294547543627298,4.584405981851907,0.8820674692739968,0.05877242680122272,0.020983189362323608,0.3740528357923508,56.946467404869416
JOR,Jordan,2014,2023,13506.296743203031,97.582,2.6069750505688325,4.512498680231859,0.8397905110448634,0.10767972355036991,-0.09941735573843807,0.37045615183968705,56.885110274987184
COG,Congo,2014,2023,6997.876307884646,5.151999999999999,0.6733337632220735,7.535841757703578,-0.04668753242889676,-0.9022625102574215,-0.42165680939138495,0.3550835658320691,56.62286378107526
VCT,Saint Vincent and the Grenadines,2014,2023,8784.981844979371,39.762,1.24339,6.313739521803583,0.19672480329052366,-0.5240941589419648,-0.32665748790770377,0.327418781140251,56.15092023256219
PER,Peru,2014,2023,10912.26279163198,77.228,2.1054188208194162,7.0556735676189195,0.48647065948540885,-0.1147195432128432,-0.1830012171859002,0.29907796402876197,55.66744400296725
NIC,Nicaragua,2014,2023,9398.291766605314,53.391999999999996,1.91849399110617,15.73509880662393,0.28026055282748713,-0.37516510293417304,-0.2141520595862594,0.29220479454918596,55.55019212373315
CRI,Costa Rica,2014,2023,22745.876908585353,285.757,3.621253215453356,4.458849485120355,2.098265594043462,2.163785748074671,0.06961112117879598,0.2776810126024576,55.30242568469787
GHA,Ghana,2014,2023,6513.532733187622,20.605,0.704146212828081,19.44001702562409,-0.11265744766924503,-0.7334143295906271,-0.4165219444132106,0.27345893352933054,55.23039971370004
CHE,Switzerland,2014,2023,13666.038097472232,119.056,3.7162689582472725,0.6490501454430279,0.8615480487764409,0.3423167410640399,0.0854454029800254,0.2636402488851801,55.06289922799912
LAO,Lao People's Democratic Republic,2014,2023,9181.785374320596,44.28,3.0112200544139536,16.40394122458331,0.25077134497136766,-0.4747279465396755,-0.03205031613631714,0.26327806823309735,55.05672065751499
ALB,Albania,2014,2023,9641.792519951992,76.422,1.4913694850024324,18.1113533914685,0.31342652198334886,-0.12352635312790408,-0.2853319461501787,0.24943282736842287,54.82052969573876
SAU,Saudi Arabia,2014,2023,10451.356048949285,95.824,1.5400355714119027,2.5730544875761123,0.4236929530453006,0.08847082549742072,-0.27722178983595713,0.23342602868014833,54.547463938768935
TON,Tonga,2014,2023,4731.587443871309,6.035,0.6271481720430108,16.98884540885674,-0.3553669329198139,-0.8926143549782667,-0.42935359357031666,0.2152075850721429,54.23666893275213
COD,Democratic Republic of the Congo,2014,2023,4194.314253677559,1.737,0.3498816369078872,18.86600458349851,-0.4285461153631132,-0.9395767234831449,-0.4755597939565237,0.20791721362067342,54.1122998544776
DZA,Algeria,2014,2023,5324.142624157246,19.003999999999998,0.8367910787847298,11.253263410980203,-0.27465807858403496,-0.7509077572258784,-0.3944168055669104,0.2002803931966754,53.98202057811928
PNG,Papua New Guinea,2014,2023,6228.872935560676,31.407999999999998,1.3547733856806397,17.62313611870356,-0.1514294758385696,-0.6153746676645688,-0.308095554221961,0.19349302472750457,53.86623240929418
NRU,Nauru,2014,2023,3969.5640739902447,0.5,0.48125,15.9163265306122,-0.4591581665573504,-0.9530928821244976,-0.453667383080166,0.19272353545658305,53.8531054140507
DMA,Dominica,2014,2023,4997.683897901252,19.955,0.57665,12.345262834019213,-0.3191233210806489,-0.7405165956511602,-0.4377690651865338,0.1879917505056895,53.772384186490015
KGZ,Kyrgyzstan,2014,2023,5469.326516464505,19.515,1.338560538426974,12.124852406127149,-0.25488333691276366,-0.7453242834459824,-0.3107974095636767,0.18659913581397025,53.74862706975686
LBN,Lebanon,2014,2023,10952.966001797275,112.98299999999999,2.2625325006330614,2.5862971500076153,0.4920146317086272,0.27595972293232157,-0.15681837413437308,0.17782326092277903,53.59891625206593
SLB,Solomon Islands,2014,2023,4269.5304462273,11.709999999999999,0.41913410416215807,33.90223604017784,-0.4183013095962315,-0.8306061089882287,-0.46401893715016357,0.17695097766570528,53.584035657106035
GAB,Gabon,2014,2023,4860.765127882644,24.721,0.46931917171717175,5.515205394548777,-0.33777231350011166,-0.6884405955826982,-0.4556556440945764,0.1684485486234033,53.438989650859995
KIR,Kiribati,2014,2023,3281.887259350583,0.019999999999999997,0.2102485294117647,26.78986926937842,-0.5528230431956116,-0.958337632446122,-0.4988295165084009,0.1634382994229116,53.35351800114518
GNQ,Equatorial Guinea,2014,2023,3583.901982291017,5.073,0.2622778977955912,2.408733684405029,-0.5116871910555665,-0.9031257087478556,-0.49015887250031936,0.1632181947744316,53.349763156493225
BTN,Bhutan,2014,2023,4767.843705694785,12.953,1.4599971652761379,13.66063017044765,-0.35042865636494736,-0.8170243909678555,-0.290560112943358,0.16005445016196984,53.29579169509826
QAT,Qatar,2014,2023,19799.529881181323,189.823,9.664406277056278,0.23416924455754162,1.6969590137134094,1.1155568369190219,1.0766967443783813,0.15979031900073243,53.29128578627245
MEX,Mexico,2014,2023,8661.056935399107,82.995,1.794007621684361,3.4499419559615654,0.17984563691303668,-0.05170605341116037,-0.23489759286185757,0.155166750849679,53.212410668164424
AGO,Angola,2014,2023,3887.7234454023105,7.526999999999999,0.8220079676177826,10.307208470354198,-0.4703052522486185,-0.876311922728551,-0.3968803967701497,0.15047631249922439,53.13239478718595
ZAF,South Africa,2014,2023,7609.805881268961,70.35900000000001,1.3744790445500685,2.3872201331772342,0.036660207064660284,-0.18977410562792169,-0.3048116251967026,0.14963223116664925,53.11799529903642
OMN,Oman,2014,2023,20606.819346965895,246.004,6.746195369940357,2.007434153762307,1.8069157064713313,1.7294220823756434,0.5903797141688011,0.1466905146572058,53.067811495198725
PSE,Palestine,2014,2023,8045.944218282502,77.55999999999999,1.707845990334585,6.921077406238931,0.09606433799351147,-0.11109192424038641,-0.24925634553934908,0.13887061575403337,52.93440901697637
BOL,Bolivia (Plurinational State of),2014,2023,4111.339538007711,7.5569999999999995,1.5506408963980967,11.93033135337317,-0.43984766914806006,-0.8759841258334494,-0.2754544226661899,0.13372739229995528,52.84666891146848
CMR,Cameroon,2014,2023,3649.2252328032237,10.764,0.7753318428200351,16.951911658514312,-0.5027898513887606,-0.8409426377470968,-0.4046589279030369,0.12719209017494595,52.73518083339954
ARM,Armenia,2014,2023,9271.573615521036,99.173,2.1413170757812092,13.3469429828269,0.26300093357544535,0.12506388555392076,-0.17701880765540495,0.12508595635662545,52.69925153631899
MWI,Malawi,2014,2023,5317.385368755106,38.378,1.142944878782371,24.50920376522646,-0.2755784491420947,-0.539216522369315,-0.3433965703813127,0.12360379719218009,52.67396684810176
AUT,Austria,2014,2023,9750.227689809073,109.729,2.1250264591181787,1.1881160465597178,0.3281959116031434,0.2404046863769765,-0.17973362319410688,0.12050016010684828,52.62102078270977
MLT,Malta,2014,2023,8770.611064762455,92.59700000000001,2.041904768555915,0.7054164564717302,0.19476743417823467,0.05321080614766704,-0.19358577267434796,0.12007854670449247,52.61382832748465
FSM,Micronesia,2014,2023,2753.4944966049593,0.522,0.43606064843192693,24.24101984406505,-0.6247926688766116,-0.9528524977347564,-0.4611981448897713,0.11999858454839452,52.61246422419897
STP,Sao Tome and Principe,2014,2023,2851.4904074237425,5.072,0.33317895150242716,13.4012536028574,-0.6114451563496623,-0.9031366353110255,-0.4783432803533092,0.11537649032428687,52.53361425034279
MKD,North Macedonia,2014,2023,6308.036833471458,58.477,1.2255912171506251,8.317686355109094,-0.14064697368906404,-0.31960352921446494,-0.32962363788526233,0.11499583007557625,52.527120429749
ATG,Antigua and Barbuda,2014,2023,3639.965543301628,5.985,1.50044,1.7538503090434603,-0.5040510654596903,-0.8931606831367692,-0.2838203535831946,0.11208031387996881,52.47738358652284
RWA,Rwanda,2014,2023,3876.789420476459,16.541,1.0479448303034105,25.05765458834026,-0.471794518825646,-0.7778198823137135,-0.3592282367401071,0.11084549040760013,52.45631828716017
LCA,Saint Lucia,2014,2023,6379.6801154066625,58.205999999999996,1.4561703239289445,1.7706175800858397,-0.1308888154647863,-0.32256462783354867,-0.29119785235914597,0.11066888448069725,52.45330550290179
ITA,Italy,2014,2023,8478.096441364543,92.926,1.8260080331100805,1.8839838836394847,0.1549255411084364,0.05680564543061367,-0.22956475519337632,0.11006598866795636,52.44302048559846
KNA,Saint Kitts and Nevis,2014,2023,3068.542863649999,7.078,0.6519411764705882,1.0359937462456992,-0.5818815719686523,-0.8812179495919037,-0.42522186331950046,0.10882414332155267,52.42183539755187
CHL,Chile,2014,2023,12331.786806129721,151.70499999999998,3.0572778343189198,3.8327531790763567,0.6798166308377369,0.699058102003027,-0.024374831582815035,0.10229376117177733,52.310431251116455
WSM,Samoa,2014,2023,2727.367636060743,0.8877777777777778,0.7945235683584178,9.570799309757486,-0.6283512724498633,-0.9488558037396669,-0.4014606453712073,0.1022638298622634,52.309920642102824
TJK,Tajikistan,2014,2023,5890.205578640177,44.549,2.0165943947817766,21.8076896566735,-0.19755759232012673,-0.4717887010469318,-0.19780372202726104,0.10208662427683778,52.30689762805324
SLE,Sierra Leone,2014,2023,3184.9816458581436,2.064,1.480107707261292,33.34679269650685,-0.5660220520033762,-0.9360037373265382,-0.28720871053776864,0.09789337543088436,52.2353634823079
AFG,Afghanistan,2014,2023,3162.9392543602453,10.873999999999999,0.8061467394119429,27.47666255602091,-0.5690243313248693,-0.8397407157983912,-0.3995236551370248,0.09574217942758231,52.198665453147186
DEU,Germany,2014,2023,11127.593088058053,135.034,2.8214415990444186,0.8108864558952312,0.5157996774512054,0.5169013673951108,-0.06367671249719106,0.09295862275880695,52.15117975512412
UGA,Uganda,2014,2023,2915.9108539092804,1.886,1.2370612802197802,23.64794404363525,-0.602670782916393,-0.9379486655708074,-0.32771216294885314,0.0921107880960786,52.13671623756062
LBR,Liberia,2014,2023,2963.64981349191,10.644,0.621288785110664,36.166864934571166,-0.5961685079160515,-0.8422538253275027,-0.43033005474549735,0.09198283272240199,52.13453340065164
COM,Comoros,2014,2023,2267.092853785759,1.198,0.48585822033898307,33.536313648894165,-0.6910429028548801,-0.9454661410318023,-0.4528994276097986,0.08589539292729426,52.030685567738175
BDI,Burundi,2014,2023,3507.230430703838,16.794999999999998,1.1157521166093813,29.378392213519653,-0.5221302236956012,-0.7750445352685206,-0.3479282179434943,0.08453681440340917,52.0075090862785
HTI,Haiti,2014,2023,3323.3798768689476,13.142999999999997,1.1592594692951048,18.852946731043158,-0.5471715499090557,-0.8149483439655459,-0.3406777596237039,0.08342674563651468,51.98857202247057
IRN,Iran (Islamic Republic of),2014,2023,5799.933780004276,54.83200000000001,1.5498275426825108,11.374693628346211,-0.20985304376351466,-0.3594308519692998,-0.2755899672776192,0.08229287771661314,51.96922896032044
NGA,Nigeria,2014,2023,3181.081253861471,11.661000000000001,1.0974327579566656,21.94790735452184,-0.5665533040791069,-0.8311415105835611,-0.3509811213760765,0.08213874668348936,51.96659958338805
AZE,Azerbaijan,2014,2023,5066.999088184632,41.037,1.6019095121915394,5.62050156878976,-0.30968226009264344,-0.5101627909001502,-0.2669105573428079,0.08041945956405747,51.93726964378808
RUS,Russian Federation,2014,2023,3334.37766216343,22.146,0.6153780130024076,3.562256050234936,-0.5456735988643611,-0.7165764957455789,-0.43131507921063234,0.07724859903736926,51.88317678944362
SYR,Syrian Arab Republic,2014,2023,2367.3971562983525,5.055,0.6302495775502717,37.467511599415374,-0.6773809763203178,-0.9033223868849165,-0.4288367473368628,0.0733844635555476,51.81725710738061
ZWE,Zimbabwe,2014,2023,3908.2215684474368,29.02,1.1174029727585209,7.819145329965825,-0.4675133096885895,-0.6414673005146501,-0.34765310436010155,0.0689724768845551,51.74199143411779
MDG,Madagascar,2014,2023,4490.692575498373,7.587999999999999,3.6781832083333335,23.936597514528362,-0.38817796805812127,-0.875645402375178,0.07909844952772789,0.06823892270446681,51.72947746856072
ECU,Ecuador,2014,2023,11038.48169610353,140.651,2.896552897461286,7.868532923112679,0.5036622789570339,0.5782758727212861,-0.05115948713414247,0.06595513549781502,51.690517518199165
VUT,Vanuatu,2014,2023,2409.523478713385,8.208,0.629668275862069,22.60086689115187,-0.6716431693909172,-0.8688709332097464,-0.4289336207019692,0.06565525891250353,51.68540181528066
CIV,Côte d'Ivoire,2014,2023,2463.972978041568,12.193000000000001,0.4076485679944883,16.642361102376,-0.6642268867287457,-0.8253285789770942,-0.46593299066350136,0.06517972233106803,51.67728946507839
VEN,Venezuela (Bolivarian Republic of),2014,2023,8376.70562694303,85.606,3.511899148484848,5.026753566184821,0.1411156264466776,-0.023176796974157955,0.05138737149717239,0.057608228118959215,51.548124612150204
CAF,Central African Republic,2014,2023,2221.134101172645,0.14099999999999996,1.3080024024173047,31.98847621943549,-0.6973027051374558,-0.9570155183025458,-0.3158898934265548,0.052290911535547324,51.45741458910472
MOZ,Mozambique,2014,2023,2126.9177923377606,8.040000000000001,0.615047629691145,25.35636058552089,-0.7101354177670882,-0.8707065958223149,-0.4313701372704772,0.04949357506912404,51.40969381653934
LBY,Libya,2014,2023,2619.429847193114,15.636,0.7619328292682926,3.1808904370863247,-0.6430529163960691,-0.7877084219826095,-0.4068918605750148,0.04866167936030541,51.395502207344244
HND,Honduras,2014,2023,8525.749121467832,114.60499999999999,1.802918687039208,11.92553788987791,0.16141606443034867,0.2936826083941439,-0.23341257242388808,0.04288558958138576,51.2969658067483
KHM,Cambodia,2014,2023,5909.394550636072,34.755,4.248529259675831,17.861387713198642,-0.19494396240481196,-0.5788034607344089,0.17414606832878593,0.042379738055960806,51.288336302973406
BEN,Benin,2014,2023,2649.8525597044354,19.466,0.7452695915495107,27.11305424397613,-0.6389091972045657,-0.7458596850413151,-0.40966877305290117,0.03866596003356523,51.2249816230869
KAZ,Kazakhstan,2014,2023,1568.6666257070026,4.199,0.434532424268605,4.646871530676718,-0.7861719011012459,-0.9126755249584799,-0.4614528219711258,0.03538850748476474,51.16907037695956
YEM,Yemen,2014,2023,2931.9371555531216,8.046,2.247666438098631,26.24053325570634,-0.6004879238545755,-0.8706410364432946,-0.15929578910291597,0.03079669247415842,51.090736947136705
PRK,Democratic People's Republic of Korea,2014,2023,4351.486450279799,39.926,1.9168097941733186,40.49347766008824,-0.4071385092139552,-0.5223022025820765,-0.21443272937906813,0.027086513973110106,51.02744367278421
GRD,Grenada,2014,2023,3988.792834918046,39.762,1.397392857142857,5.251512517433621,-0.4565391171988914,-0.5240941589419648,-0.30099306045084023,0.027033910055798346,51.026546283569786
BLZ,Belize,2014,2023,16676.66046172656,267.967,2.1580763449599933,8.188250223282584,1.2716092379122597,1.969402189279468,-0.17422589162742524,0.024959973183532866,50.991166245814476
TLS,Timor-Leste,2014,2023,2032.1266123976097,0.0,1.6988818359267472,15.409873330569576,-0.7230464305953187,-0.958556163709523,-0.25075021321674335,0.02488350864914933,50.9898618097202
COK,Cook Islands,2014,2023,2237.8823131965596,11.777,1.1123684210526315,1.7855316328294446,-0.6950215184233838,-0.8298740292558352,-0.3484921075411514,0.023325552371515665,50.963284071187786
TGO,Togo,2014,2023,1593.4228070910153,7.337000000000001,0.5991175460992907,19.239827931921617,-0.7827999905961885,-0.8783879697308605,-0.43402487032095344,0.019762612731211646,50.90250259771114
MDA,Republic of Moldova,2014,2023,3288.257403955466,38.297000000000004,0.7261903670394873,10.70313462373874,-0.5519553989826874,-0.5401015739860892,-0.41284830739697176,0.01686261950286036,50.853030566386906
UKR,Ukraine,2014,2023,4450.4957075736575,57.033,0.9915045729878244,9.954289926819706,-0.3936529740424161,-0.33538148643201815,-0.368633951130061,0.015629095393033435,50.83198743331888
